fighter,kd,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sub_att,ctrl_time,reversals,head_str_landed,head_str_attempted,body_str_landed,body_str_attempted,leg_str_landed,leg_str_attempted,distance_str_landed,distance_str_attempted,clinch_str_landed,clinch_str_attempted,ground_str_landed,ground_str_attempted,sig_str_landed_opp,sig_str_attempted_opp,td_landed_opp,td_attempted_opp,ctrl_time_opp,total_fight_time,wins,losses,draws,total_fights,dq_wins,majority_decision_wins,split_decision_wins,unanimous_decision_wins,ko_tko_wins,submission_wins,tko_doctor_stoppage_wins,Could Not Continue ,dq_losses,majority_decision_losses,split_decision_losses,unanimous_decision_losses,ko_tko_losses,other,overturned,submission_losses,tko_doctor_stoppage_losses
Alan Omer,0.0,93.0,167.0,154.0,237.0,3.0,7.0,0.0,387,0.0,60.0,124.0,15.0,23.0,18.0,20.0,46.0,103.0,31.0,42.0,16.0,22.0,59.0,168.0,3.0,9.0,517,1601,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Alan Patrick,1.0,209.0,513.0,455.0,816.0,23.0,69.0,2.0,2531,0.0,127.0,385.0,53.0,95.0,29.0,33.0,140.0,414.0,24.0,36.0,45.0,63.0,338.0,598.0,9.0,16.0,1324,6882,5,4,0,9,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Alatengheili,1.0,340.0,1039.0,494.0,1257.0,14.0,32.0,0.0,1026,0.0,223.0,862.0,71.0,117.0,46.0,60.0,325.0,1013.0,2.0,6.0,13.0,20.0,619.0,1449.0,3.0,12.0,167,7247,5,3,1,9,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Albert Cheng,0.0,5.0,12.0,5.0,12.0,0.0,1.0,0.0,6,0.0,4.0,10.0,1.0,2.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,13.0,45.0,0.0,0.0,32,300,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Albert Duraev,0.0,157.0,390.0,272.0,567.0,6.0,23.0,1.0,757,0.0,96.0,303.0,18.0,28.0,43.0,59.0,115.0,318.0,1.0,2.0,41.0,70.0,159.0,393.0,1.0,3.0,166,2985,2,2,0,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Albert Morales,0.0,278.0,805.0,380.0,955.0,3.0,8.0,0.0,732,1.0,163.0,645.0,28.0,42.0,87.0,118.0,248.0,750.0,11.0,29.0,19.0,26.0,294.0,681.0,5.0,14.0,1066,4450,1,4,1,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
Albert Tumenov,5.0,279.0,664.0,300.0,697.0,1.0,5.0,0.0,163,1.0,223.0,583.0,44.0,67.0,12.0,14.0,243.0,598.0,20.0,31.0,16.0,35.0,248.0,598.0,9.0,36.0,951,4450,5,3,0,8,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Alberta Cerra Leon,0.0,1.0,3.0,9.0,11.0,0.0,0.0,0.0,0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,0,591,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alberto Crane,1.0,8.0,32.0,26.0,52.0,0.0,11.0,5.0,269,2.0,3.0,25.0,3.0,4.0,2.0,3.0,8.0,32.0,0.0,0.0,0.0,0.0,49.0,115.0,1.0,2.0,509,1125,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Alberto Mina,3.0,131.0,336.0,165.0,386.0,5.0,24.0,0.0,250,1.0,93.0,279.0,13.0,26.0,25.0,31.0,96.0,277.0,14.0,26.0,21.0,33.0,150.0,284.0,4.0,8.0,440,2434,3,1,0,4,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
