event,bout,weight_class,method,round,round_format,time,winner
UFC on FOX: Johnson vs Moraga ,Robbie Lawler vs. Bobby Voelker,Welterweight Bout,KO/TKO ,2,3 Rnd (5-5-5),0:24,Robbie Lawler 
UFC on FOX: Johnson vs Moraga ,Liz Carmouche vs. Jessica Andrade,Women's Bantamweight Bout,KO/TKO ,2,3 Rnd (5-5-5),3:57,Liz Carmouche 
UFC on FOX: Johnson vs Moraga ,Michael Chiesa vs. Jorge Masvidal,Lightweight Bout,Submission ,2,3 Rnd (5-5-5),4:59,Jorge Masvidal 
UFC on FOX: Johnson vs Moraga ,Danny Castillo vs. Tim Means,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Danny Castillo 
UFC on FOX: Johnson vs Moraga ,Mac Danzig vs. Melvin Guillard,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),2:47,Melvin Guillard 
UFC on FOX: Johnson vs Moraga ,Yves Edwards vs. Daron Cruickshank,Lightweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Daron Cruickshank 
UFC on FOX: Johnson vs Moraga ,Ed Herman vs. Trevor Smith,Middleweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Ed Herman 
UFC on FOX: Johnson vs Moraga ,Julie Kedzie vs. Germaine de Randamie,Women's Bantamweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Germaine de Randamie 
UFC on FOX: Johnson vs Moraga ,Aaron Riley vs. Justin Salas,Lightweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Justin Salas 
UFC on FOX: Johnson vs Moraga ,John Albert vs. Yaotzin Meza,Bantamweight Bout,Submission ,2,3 Rnd (5-5-5),2:49,Yaotzin Meza 
UFC 162: Silva vs Weidman ,Anderson Silva vs. Chris Weidman,UFC Middleweight Title Bout,KO/TKO ,2,5 Rnd (5-5-5-5-5),1:18,Chris Weidman 
UFC 162: Silva vs Weidman ,Frankie Edgar vs. Charles Oliveira,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Frankie Edgar 
UFC 162: Silva vs Weidman ,Tim Kennedy vs. Roger Gracie,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Tim Kennedy 
UFC 162: Silva vs Weidman ,Mark Munoz vs. Tim Boetsch,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Mark Munoz 
UFC 162: Silva vs Weidman ,Cub Swanson vs. Dennis Siver,Featherweight Bout,KO/TKO ,3,3 Rnd (5-5-5),2:24,Cub Swanson 
UFC 162: Silva vs Weidman ,Chris Leben vs. Andrew Craig,Middleweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Andrew Craig 
UFC 162: Silva vs Weidman ,Norman Parke vs. Kazuki Tokudome,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Norman Parke 
UFC 162: Silva vs Weidman ,Gabriel Gonzaga vs. Dave Herman,Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:17,Gabriel Gonzaga 
UFC 162: Silva vs Weidman ,Edson Barboza vs. Rafaello Oliveira,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:44,Edson Barboza 
UFC 162: Silva vs Weidman ,Seth Baczynski vs. Brian Melancon,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:59,Brian Melancon 
UFC 162: Silva vs Weidman ,Mike Pierce vs. David Mitchell,Welterweight Bout,KO/TKO ,2,3 Rnd (5-5-5),2:55,Mike Pierce 
UFC 161: Evans vs Henderson ,Rashad Evans vs. Dan Henderson,Light Heavyweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Rashad Evans 
UFC 161: Evans vs Henderson ,Roy Nelson vs. Stipe Miocic,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Stipe Miocic 
UFC 161: Evans vs Henderson ,Ryan Jimmo vs. Igor Pokrajac,Light Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Ryan Jimmo 
UFC 161: Evans vs Henderson ,Alexis Davis vs. Rosi Sexton,Women's Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Alexis Davis 
UFC 161: Evans vs Henderson ,Pat Barry vs. Shawn Jordan,Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:59,Shawn Jordan 
UFC 161: Evans vs Henderson ,Jake Shields vs. Tyron Woodley,Welterweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Jake Shields 
UFC 161: Evans vs Henderson ,Sam Stout vs. James Krause,Lightweight Bout,Submission ,3,3 Rnd (5-5-5),4:47,James Krause 
UFC 161: Evans vs Henderson ,Sean Pierson vs. Kenny Robertson,Welterweight Bout,Decision - Majority ,3,3 Rnd (5-5-5),5:00,Sean Pierson 
UFC 161: Evans vs Henderson ,Roland Delorme vs. Edwin Figueroa,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Roland Delorme 
UFC 161: Evans vs Henderson ,Mitch Clarke vs. John Maguire,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Mitch Clarke 
UFC 161: Evans vs Henderson ,Yves Jabouin vs. Dustin Pague,Bantamweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Yves Jabouin 
UFC on FUEL TV: Nogueira vs. Werdum ,Antonio Rodrigo Nogueira vs. Fabricio Werdum,Heavyweight Bout,Submission ,2,5 Rnd (5-5-5-5-5),2:41,Fabricio Werdum 
UFC on FUEL TV: Nogueira vs. Werdum ,William Macario vs. Leonardo Santos,Ultimate Fighter Brazil 2 Welterweight Tournament Title Bout,Submission ,2,3 Rnd (5-5-5),4:43,Leonardo Santos 
UFC on FUEL TV: Nogueira vs. Werdum ,Thiago Silva vs. Rafael Cavalcante,Light Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:29,Thiago Silva 
UFC on FUEL TV: Nogueira vs. Werdum ,Erick Silva vs. Jason High,Welterweight Bout,Submission ,1,3 Rnd (5-5-5),1:11,Erick Silva 
UFC on FUEL TV: Nogueira vs. Werdum ,Daniel Sarafian vs. Eddie Mendez,Middleweight Bout,Submission ,1,3 Rnd (5-5-5),2:20,Daniel Sarafian 
UFC on FUEL TV: Nogueira vs. Werdum ,Rony Jason vs. Mike Wilkinson,Featherweight Bout,Submission ,1,3 Rnd (5-5-5),1:24,Rony Jason 
UFC on FUEL TV: Nogueira vs. Werdum ,Raphael Assuncao vs. Vaughan Lee,Bantamweight Bout,Submission ,2,3 Rnd (5-5-5),1:51,Raphael Assuncao 
UFC on FUEL TV: Nogueira vs. Werdum ,Godofredo Pepey vs. Felipe Arantes,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:32,Felipe Arantes 
UFC on FUEL TV: Nogueira vs. Werdum ,Ildemar Alcantara vs. Leandro Silva,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Ildemar Alcantara 
UFC on FUEL TV: Nogueira vs. Werdum ,Rodrigo Damm vs. Mizuto Hirota,Featherweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Rodrigo Damm 
UFC on FUEL TV: Nogueira vs. Werdum ,Caio Magalhaes vs. Karlos Vemola,Middleweight Bout,Submission ,2,3 Rnd (5-5-5),2:49,Caio Magalhaes 
UFC on FUEL TV: Nogueira vs. Werdum ,Antonio Braga Neto vs. Anthony Smith,Middleweight Bout,Submission ,1,3 Rnd (5-5-5),1:52,Antonio Braga Neto 
UFC 160: Velasquez vs Silva 2 ,Cain Velasquez vs. Antonio Silva,UFC Heavyweight Title Bout,KO/TKO ,1,5 Rnd (5-5-5-5-5),1:21,Cain Velasquez 
UFC 160: Velasquez vs Silva 2 ,Junior Dos Santos vs. Mark Hunt,Heavyweight Bout,KO/TKO ,3,3 Rnd (5-5-5),4:18,Junior Dos Santos 
UFC 160: Velasquez vs Silva 2 ,Glover Teixeira vs. James Te Huna,Light Heavyweight Bout,Submission ,1,3 Rnd (5-5-5),2:38,Glover Teixeira 
UFC 160: Velasquez vs Silva 2 ,Gray Maynard vs. TJ Grant,Lightweight Bout,KO/TKO ,1,3 Rnd (5-5-5),2:07,TJ Grant 
UFC 160: Velasquez vs Silva 2 ,Donald Cerrone vs. KJ Noons,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Donald Cerrone 
UFC 160: Velasquez vs Silva 2 ,Mike Pyle vs. Rick Story,Welterweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Mike Pyle 
UFC 160: Velasquez vs Silva 2 ,Dennis Bermudez vs. Max Holloway,Featherweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Dennis Bermudez 
UFC 160: Velasquez vs Silva 2 ,Colton Smith vs. Robert Whittaker,Welterweight Bout,KO/TKO ,3,3 Rnd (5-5-5),0:41,Robert Whittaker 
UFC 160: Velasquez vs Silva 2 ,Khabib Nurmagomedov vs. Abel Trujillo,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Khabib Nurmagomedov 
UFC 160: Velasquez vs Silva 2 ,Stephen Thompson vs. Nah-Shon Burrell,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Stephen Thompson 
UFC 160: Velasquez vs Silva 2 ,Brian Bowles vs. George Roop,Bantamweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:43,George Roop 
UFC 160: Velasquez vs Silva 2 ,Jeremy Stephens vs. Estevan Payan,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Jeremy Stephens 
UFC on FX: Belfort vs. Rockhold ,Vitor Belfort vs. Luke Rockhold,Middleweight Bout,KO/TKO ,1,5 Rnd (5-5-5-5-5),2:32,Vitor Belfort 
UFC on FX: Belfort vs. Rockhold ,Jacare Souza vs. Chris Camozzi,Middleweight Bout,Submission ,1,3 Rnd (5-5-5),3:37,Jacare Souza 
UFC on FX: Belfort vs. Rockhold ,Rafael Dos Anjos vs. Evan Dunham,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Rafael Dos Anjos 
UFC on FX: Belfort vs. Rockhold ,Rafael Natal vs. Joao Zeferino,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Rafael Natal 
UFC on FX: Belfort vs. Rockhold ,Hacran Dias vs. Nik Lentz,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Nik Lentz 
UFC on FX: Belfort vs. Rockhold ,Francisco Trinaldo vs. Mike Rio,Lightweight Bout,Submission ,1,3 Rnd (5-5-5),3:08,Francisco Trinaldo 
UFC on FX: Belfort vs. Rockhold ,Gleison Tibau vs. John Cholish,Lightweight Bout,Submission ,2,3 Rnd (5-5-5),2:34,Gleison Tibau 
UFC on FX: Belfort vs. Rockhold ,Paulo Thiago vs. Michel Prazeres,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Paulo Thiago 
UFC on FX: Belfort vs. Rockhold ,Iuri Alcantara vs. Iliarde Santos,Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),2:31,Iuri Alcantara 
UFC on FX: Belfort vs. Rockhold ,Fabio Maldonado vs. Roger Hollett,Light Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Fabio Maldonado 
UFC on FX: Belfort vs. Rockhold ,John Lineker vs. Azamat Gashimov,Flyweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:07,John Lineker 
UFC on FX: Belfort vs. Rockhold ,Jussier Formiga vs. Chris Cariaso,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Jussier Formiga 
UFC on FX: Belfort vs. Rockhold ,Lucas Martins vs. Jeremy Larsen,Lightweight Bout,KO/TKO ,3,3 Rnd (5-5-5),0:13,Lucas Martins 
UFC 159: Jones vs Sonnen ,Jon Jones vs. Chael Sonnen,UFC Light Heavyweight Title Bout,KO/TKO ,1,5 Rnd (5-5-5-5-5),4:33,Jon Jones 
UFC 159: Jones vs Sonnen ,Michael Bisping vs. Alan Belcher,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),4:31,Michael Bisping 
UFC 159: Jones vs Sonnen ,Roy Nelson vs. Cheick Kongo,Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),2:03,Roy Nelson 
UFC 159: Jones vs Sonnen ,Phil Davis vs. Vinny Magalhaes,Light Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Phil Davis 
UFC 159: Jones vs Sonnen ,Jim Miller vs. Pat Healy,Lightweight Bout,Overturned ,3,3 Rnd (5-5-5),4:02,
UFC 159: Jones vs Sonnen ,Rustam Khabilov vs. Yancy Medeiros,Lightweight Bout,TKO - Doctor's Stoppage ,1,3 Rnd (5-5-5),2:32,Rustam Khabilov 
UFC 159: Jones vs Sonnen ,Gian Villante vs. Ovince Saint Preux,Light Heavyweight Bout,Decision - Majority ,3,3 Rnd (5-5-5),0:33,Ovince Saint Preux 
UFC 159: Jones vs Sonnen ,Sara McMann vs. Sheila Gaff,Women's Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:06,Sara McMann 
UFC 159: Jones vs Sonnen ,Bryan Caraway vs. Johnny Bedford,Bantamweight Bout,Submission ,3,3 Rnd (5-5-5),4:44,Bryan Caraway 
UFC 159: Jones vs Sonnen ,Leonard Garcia vs. Cody McKenzie,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Cody McKenzie 
UFC 159: Jones vs Sonnen ,Steven Siler vs. Kurt Holobaugh,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Steven Siler 
UFC on FOX: Henderson vs Melendez ,Benson Henderson vs. Gilbert Melendez,UFC Lightweight Title Bout,Decision - Split ,5,5 Rnd (5-5-5-5-5),5:00,Benson Henderson 
UFC on FOX: Henderson vs Melendez ,Frank Mir vs. Daniel Cormier,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Daniel Cormier 
UFC on FOX: Henderson vs Melendez ,Nate Diaz vs. Josh Thomson,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),3:44,Josh Thomson 
UFC on FOX: Henderson vs Melendez ,Matt Brown vs. Jordan Mein,Welterweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:00,Matt Brown 
UFC on FOX: Henderson vs Melendez ,Chad Mendes vs. Darren Elkins,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:08,Chad Mendes 
UFC on FOX: Henderson vs Melendez ,Francis Carmont vs. Lorenz Larkin,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Francis Carmont 
UFC on FOX: Henderson vs Melendez ,Ramsey Nijem vs. Myles Jury,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:02,Myles Jury 
UFC on FOX: Henderson vs Melendez ,Joseph Benavidez vs. Darren Uyenoyama,Flyweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:50,Joseph Benavidez 
UFC on FOX: Henderson vs Melendez ,Tim Means vs. Jorge Masvidal,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Jorge Masvidal 
UFC on FOX: Henderson vs Melendez ,TJ Dillashaw vs. Hugo Viana,Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:22,TJ Dillashaw 
UFC on FOX: Henderson vs Melendez ,Anthony Njokuani vs. Roger Bowling,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),2:52,Anthony Njokuani 
UFC on FOX: Henderson vs Melendez ,Clifford Starks vs. Yoel Romero,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:32,Yoel Romero 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Urijah Faber vs. Scott Jorgensen,Bantamweight Bout,Submission ,4,5 Rnd (5-5-5-5-5),3:16,Urijah Faber 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Uriah Hall vs. Kelvin Gastelum,Ultimate Fighter 17 Middleweight Tournament Title Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Kelvin Gastelum 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Miesha Tate vs. Cat Zingano,Women's Bantamweight Bout,KO/TKO ,3,3 Rnd (5-5-5),2:55,Cat Zingano 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Travis Browne vs. Gabriel Gonzaga,Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:11,Travis Browne 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Robert McDaniel vs. Gilbert Smith,Middleweight Bout,Submission ,3,3 Rnd (5-5-5),2:49,Robert McDaniel 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Josh Samman vs. Kevin Casey,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),2:17,Josh Samman 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Luke Barnatt vs. Collin Hart,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Luke Barnatt 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Dylan Andrews vs. Jimmy Quinlan,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:22,Dylan Andrews 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Bristol Marunde vs. Clint Hester,Middleweight Bout,KO/TKO ,3,3 Rnd (5-5-5),3:53,Clint Hester 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Cole Miller vs. Bart Palaszewski,Featherweight Bout,Submission ,1,3 Rnd (5-5-5),4:23,Cole Miller 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Sam Sicilia vs. Maximo Blanco,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Maximo Blanco 
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale ,Justin Lawrence vs. Daniel Pineda,Featherweight Bout,Submission ,1,3 Rnd (5-5-5),1:35,Daniel Pineda 
UFC on FUEL TV: Mousasi vs Latifi ,Gegard Mousasi vs. Ilir Latifi,Light Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Gegard Mousasi 
UFC on FUEL TV: Mousasi vs Latifi ,Ryan Couture vs. Ross Pearson,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),3:45,Ross Pearson 
UFC on FUEL TV: Mousasi vs Latifi ,Matt Mitrione vs. Philip De Fries,Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:19,Matt Mitrione 
UFC on FUEL TV: Mousasi vs Latifi ,Brad Pickett vs. Mike Easton,Bantamweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Brad Pickett 
UFC on FUEL TV: Mousasi vs Latifi ,Diego Brandao vs. Pablo Garza,Featherweight Bout,Submission ,1,3 Rnd (5-5-5),3:27,Diego Brandao 
UFC on FUEL TV: Mousasi vs Latifi ,Akira Corassani vs. Robert Peralta,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Akira Corassani 
UFC on FUEL TV: Mousasi vs Latifi ,Reza Madadi vs. Michael Johnson,Lightweight Bout,Submission ,3,3 Rnd (5-5-5),1:33,Reza Madadi 
UFC on FUEL TV: Mousasi vs Latifi ,Tor Troeng vs. Adam Cella,Middleweight Bout,Submission ,1,3 Rnd (5-5-5),3:11,Tor Troeng 
UFC on FUEL TV: Mousasi vs Latifi ,Chris Spang vs. Adlan Amagov,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Adlan Amagov 
UFC on FUEL TV: Mousasi vs Latifi ,Marcus Brimage vs. Conor McGregor,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:07,Conor McGregor 
UFC on FUEL TV: Mousasi vs Latifi ,Ben Alloway vs. Ryan LaFlare,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Ryan LaFlare 
UFC on FUEL TV: Mousasi vs Latifi ,Michael Kuiper vs. Tom Lawlor,Middleweight Bout,Submission ,2,3 Rnd (5-5-5),1:05,Tom Lawlor 
UFC on FUEL TV: Mousasi vs Latifi ,Papy Abedi vs. Besam Yousef,Welterweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Papy Abedi 
UFC 158: St-Pierre vs Diaz ,Georges St-Pierre vs. Nick Diaz,UFC Welterweight Title Bout,Decision - Unanimous ,5,5 Rnd (5-5-5-5-5),5:00,Georges St-Pierre 
UFC 158: St-Pierre vs Diaz ,Carlos Condit vs. Johny Hendricks,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Johny Hendricks 
UFC 158: St-Pierre vs Diaz ,Jake Ellenberger vs. Nate Marquardt,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:00,Jake Ellenberger 
UFC 158: St-Pierre vs Diaz ,Nick Ring vs. Chris Camozzi,Middleweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Chris Camozzi 
UFC 158: St-Pierre vs Diaz ,Mike Ricci vs. Colin Fletcher,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Mike Ricci 
UFC 158: St-Pierre vs Diaz ,Patrick Cote vs. Bobby Voelker,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Patrick Cote 
UFC 158: St-Pierre vs Diaz ,Antonio Carvalho vs. Darren Elkins,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:06,Darren Elkins 
UFC 158: St-Pierre vs Diaz ,Dan Miller vs. Jordan Mein,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:42,Jordan Mein 
UFC 158: St-Pierre vs Diaz ,John Makdessi vs. Daron Cruickshank,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,John Makdessi 
UFC 158: St-Pierre vs Diaz ,Rick Story vs. Quinn Mulhern,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:05,Rick Story 
UFC 158: St-Pierre vs Diaz ,TJ Dillashaw vs. Issei Tamura,Bantamweight Bout,KO/TKO ,2,3 Rnd (5-5-5),0:26,TJ Dillashaw 
UFC 158: St-Pierre vs Diaz ,George Roop vs. Reuben Duran,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,George Roop 
UFC on FUEL TV: Silva vs. Stann ,Wanderlei Silva vs. Brian Stann,Light Heavyweight Bout,KO/TKO ,2,5 Rnd (5-5-5-5-5),4:08,Wanderlei Silva 
UFC on FUEL TV: Silva vs. Stann ,Stefan Struve vs. Mark Hunt,Heavyweight Bout,KO/TKO ,3,3 Rnd (5-5-5),1:44,Mark Hunt 
UFC on FUEL TV: Silva vs. Stann ,Takanori Gomi vs. Diego Sanchez,Lightweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Diego Sanchez 
UFC on FUEL TV: Silva vs. Stann ,Yushin Okami vs. Hector Lombard,Middleweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Yushin Okami 
UFC on FUEL TV: Silva vs. Stann ,Mizuto Hirota vs. Rani Yahya,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Rani Yahya 
UFC on FUEL TV: Silva vs. Stann ,Dong Hyun Kim vs. Siyar Bahadurzada,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Dong Hyun Kim 
UFC on FUEL TV: Silva vs. Stann ,Riki Fukuda vs. Brad Tavares,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Brad Tavares 
UFC on FUEL TV: Silva vs. Stann ,Takeya Mizugaki vs. Bryan Caraway,Bantamweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Takeya Mizugaki 
UFC on FUEL TV: Silva vs. Stann ,Cristiano Marcello vs. Kazuki Tokudome,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Kazuki Tokudome 
UFC on FUEL TV: Silva vs. Stann ,Alex Caceres vs. Kyung Ho Kang,Bantamweight Bout,Overturned ,3,3 Rnd (5-5-5),5:00,
UFC on FUEL TV: Silva vs. Stann ,Marcelo Guimaraes vs. Hyun Gyu Lim,Welterweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:00,Hyun Gyu Lim 
UFC 157: Rousey vs Carmouche ,Ronda Rousey vs. Liz Carmouche,UFC Women's Bantamweight Title Bout,Submission ,1,5 Rnd (5-5-5-5-5),4:49,Ronda Rousey 
UFC 157: Rousey vs Carmouche ,Lyoto Machida vs. Dan Henderson,Light Heavyweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Lyoto Machida 
UFC 157: Rousey vs Carmouche ,Urijah Faber vs. Ivan Menjivar,Bantamweight Bout,Submission ,1,3 Rnd (5-5-5),4:34,Urijah Faber 
UFC 157: Rousey vs Carmouche ,Court McGee vs. Josh Neer,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Court McGee 
UFC 157: Rousey vs Carmouche ,Josh Koscheck vs. Robbie Lawler,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:57,Robbie Lawler 
UFC 157: Rousey vs Carmouche ,Brendan Schaub vs. Lavar Johnson,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Brendan Schaub 
UFC 157: Rousey vs Carmouche ,Michael Chiesa vs. Anton Kuivanen,Lightweight Bout,Submission ,2,3 Rnd (5-5-5),2:29,Michael Chiesa 
UFC 157: Rousey vs Carmouche ,Dennis Bermudez vs. Matt Grice,Featherweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Dennis Bermudez 
UFC 157: Rousey vs Carmouche ,Sam Stout vs. Caros Fodor,Lightweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Sam Stout 
UFC 157: Rousey vs Carmouche ,Kenny Robertson vs. Brock Jardine,Welterweight Bout,Submission ,1,3 Rnd (5-5-5),2:57,Kenny Robertson 
UFC 157: Rousey vs Carmouche ,Jon Manley vs. Neil Magny,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Neil Magny 
UFC 157: Rousey vs Carmouche ,Nah-Shon Burrell vs. Yuri Villefort,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Nah-Shon Burrell 
UFC on FUEL TV: Barao vs McDonald ,Renan Barao vs. Michael McDonald,UFC Interim Bantamweight Title Bout,Submission ,4,5 Rnd (5-5-5-5-5),3:57,Renan Barao 
UFC on FUEL TV: Barao vs McDonald ,Cub Swanson vs. Dustin Poirier,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Cub Swanson 
UFC on FUEL TV: Barao vs McDonald ,Jimi Manuwa vs. Cyrille Diabate,Light Heavyweight Bout,TKO - Doctor's Stoppage ,1,3 Rnd (5-5-5),5:00,Jimi Manuwa 
UFC on FUEL TV: Barao vs McDonald ,Gunnar Nelson vs. Jorge Santiago,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Gunnar Nelson 
UFC on FUEL TV: Barao vs McDonald ,James Te Huna vs. Ryan Jimmo,Light Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,James Te Huna 
UFC on FUEL TV: Barao vs McDonald ,Che Mills vs. Matthew Riddle,Welterweight Bout,Overturned ,3,3 Rnd (5-5-5),5:00,
UFC on FUEL TV: Barao vs McDonald ,Terry Etim vs. Renee Forte,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Renee Forte 
